
id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
3.469311909642459e+18,0,14102522,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,a954fce8,99e427c9,1,0,21611,320,50,2480,3,297,100111,61
1.739838947927199e+19,0,14102822,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,34dd1fdc,36d749e5,1,0,22915,320,50,2617,0,35,-1,51
1.6168567258441947e+19,0,14102216,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c855f59d,fbec56bc,1,0,15707,320,50,1722,0,35,-1,79
1.7694880258861259e+19,1,14103005,1005,0,85f751fd,c4e18dd6,50e219e0,3c4b944d,2347f47a,0f2161f8,771f1abd,161571c1,36d0a394,1,2,23804,320,50,2726,3,803,-1,229
1.4607079997892266e+19,0,14102121,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,dc0205a7,99e427c9,1,0,21706,320,50,2498,3,169,100111,61
1.5425704472918833e+18,0,14102811,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f46f0a98,03683bd4,1,0,22267,320,50,2566,3,815,100156,42
7.413168236869295e+18,0,14102209,1005,0,85f751fd,c4e18dd6,50e219e0,e96773f0,2347f47a,0f2161f8,a99f214a,f6173a4e,e4a6a646,1,0,21767,320,50,2506,0,35,-1,157
9.609680355332813e+18,0,14102611,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a8536f3a,1ccc7835,1,0,15701,320,50,1722,0,35,-1,79
1.1466960659487377e+19,0,14102705,1005,0,c753d07d,2ec930cc,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a72d610b,2b127119,1,2,16339,300,250,1821,1,167,100003,71
4.1205313529489106e+18,0,14102717,1005,1,e8f79e60,c4342784,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2bad9f8e,f1937c53,1,0,6563,320,50,572,2,39,-1,32
4.201384195108673e+18,0,14102601,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,c94d55ba,a4b6f65b,1,0,21611,320,50,2480,3,297,100111,61
1.041547757470413e+19,0,14102917,1005,1,0a742914,510bd839,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,62d0cfb9,0d7ad2f3,1,2,20071,320,50,2291,3,35,100037,43
6.51839023399942e+18,0,14102519,1005,0,6256f5b4,28f93029,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6fc0c4e4,6d44e29a,1,0,18095,320,50,2060,3,39,-1,23
3.520738256340127e+18,1,14102923,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,0accc299,a5bce124,1,0,15704,320,50,1722,0,35,100083,79
8.633255882130968e+18,1,14102311,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6b9769f2,1f0bc64f,1,0,15705,320,50,1722,0,35,-1,79
1.131584265567862e+19,0,14102819,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,27c39c52,b7c5bc1f,1,0,23438,320,50,2684,2,1327,-1,52
1.4782713236045423e+19,0,14102609,1005,1,0a742914,510bd839,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a76d7e4a,d787e91b,1,0,21593,320,50,2478,3,167,100074,23
1.4685400904659771e+19,1,14102306,1005,0,85f751fd,c4e18dd6,50e219e0,de97da65,33da2e74,0f2161f8,a99f214a,c41fe74f,3bb1ddd7,1,0,16685,320,50,1092,3,811,100156,61
1.2155713999170212e+19,0,14102910,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,bcc9bcf5,1f0bc64f,1,0,22676,320,50,2616,0,35,-1,51
7.334243516356375e+18,0,14102106,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,705b2f5a,158e4944,1,0,15705,320,50,1722,0,35,100084,79
1.3155555025421437e+19,1,14102819,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,0627bdab,4ea23a13,1,0,17262,320,50,1872,3,39,-1,23
7.786182462659123e+18,0,14102810,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,75d4c5ac,d4897fef,1,0,23161,320,50,2667,0,35,100188,221
2.5548820030189486e+18,0,14103014,1005,0,6ec06dbd,d262cf1e,8fd0aea4,ecad2386,7801e8d9,07d7df22,a99f214a,f5c3e80f,9e3836ff,1,0,24042,320,50,2757,3,299,100112,61
1.5635529787088372e+19,0,14102103,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,111060ff,8a4875bd,1,0,15707,320,50,1722,0,35,-1,79
3.1487255885415174e+17,0,14102105,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,90c29a58,8a4875bd,1,0,16208,320,50,1800,3,167,100075,23
1.663900757603618e+19,0,14102814,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,9ec88b9b,981edffc,1,3,21191,320,50,2424,1,161,100192,71
